game_date,home_team,away_team,winner
2024-05-05,Yankees,Tigers,Yankees
2024-05-05,Pirates,Rockies,Pirates
2024-05-05,Nationals,Blue Jays,Nationals
2024-05-05,Guardians,Angels,Guardians
2024-05-05,Rays,Mets,Rays
2024-05-05,Astros,Mariners,Mariners
2024-05-05,Royals,Rangers,Rangers
2024-05-05,Twins,Red Sox,Red Sox
2024-05-05,Cardinals,White Sox,White Sox
2024-05-05,Cubs,Brewers,Cubs
2024-05-05,D-backs,Padres,D-backs
2024-05-05,Reds,Orioles,Orioles
2024-05-05,Dodgers,Braves,Dodgers
2024-05-05,Phillies,Giants,Phillies
